29,43,19,1,0
46,46,11,1,0
23,48,15,3,0
33,3,27,3,0
35,7,30,4,18
33,6,32,4,0
30,1,26,4,0
26,2,25,4,4
27,2,16,4,4
27,2,28,3,4
23,2,24,4,0
23,1,25,3,0
23,5,26,1,0
41,2,26,4,0
42,2,28,3,8
42,3,24,4,0
45,5,20,3,9
46,6,31,2,0
42,10,30,3,27
42,11,30,3,27
41,10,13,1,27
45,10,29,3,28
46,10,24,1,28
47,10,20,4,28
48,10,16,4,28
49,10,24,4,0
49,11,24,4,0
46,15,25,4,0
45,13,27,2,0
39,15,27,4,29
40,15,27,4,0
41,15,27,4,0
42,15,27,4,0
42,14,29,4,0
39,12,27,3,0
27,10,32,4,0
33,13,28,2,0
33,15,26,2,0
33,5,22,2,16
23,6,21,4,0
29,11,23,2,0
26,3,30,2,4
26,4,22,4,4
26,6,27,4,4
39,6,25,4,7
40,6,24,4,7
28,2,22,4,4
32,19,19,2,42
35,19,25,3,42
36,19,29,2,42
28,22,13,1,0
29,19,30,2,0
40,27,26,2,67
39,23,26,3,52
40,23,26,3,52
45,18,25,3,45
46,18,23,4,45
42,20,26,4,0
42,18,27,3,0
41,19,27,4,0
40,18,24,4,0
38,18,24,3,43
39,20,25,4,0
41,23,26,2,0
28,21,21,1,0
39,27,18,3,67
32,23,28,2,0
45,22,27,3,0
45,23,27,2,49
40,22,12,1,52
34,36,29,1,77
33,36,26,4,77
36,38,29,2,87
36,36,23,1,0
35,36,27,1,0
26,37,22,1,79
26,38,23,3,79
29,38,26,3,85
27,48,21,2,0
23,45,28,3,0
29,45,15,3,100
22,27,21,2,0
23,30,16,1,69
22,48,26,4,0
13,43,8,1,83
17,36,26,4,0
27,44,25,3,0
27,45,14,2,102
45,11,25,4,28
15,19,24,1,39
36,13,22,2,0
33,11,20,2,26
14,36,36,2,72
10,36,26,1,74
41,31,32,1,70
27,29,17,1,59
8,30,15,1,0
1,31,52,2,55
34,30,34,1,60
14,28,16,1,58
4,27,49,2,56
23,23,14,1,48
46,3,22,2,9
39,3,20,2,0
9,4,62,1,1
14,2,11,1,2
10,36,15,1,74
1,31,28,2,55
1,31,29,2,55
1,31,38,2,55
34,30,14,1,60
14,28,27,1,58
14,28,47,1,58
36,43,19,1,0
8,14,11,1,35
8,30,15,1,0
23,22,14,1,48
